log_id,user_id,food_id,servings,taken_at,meal_type,calories
1001,50,101,1.5,2025-10-23T22:33:02,breakfast,409.5
1002,4,119,2.0,2025-10-12T03:08:16,dinner,590.0
1003,31,104,2.0,2025-10-14T23:04:28,snack,278.0
1004,39,104,0.5,2025-10-26T20:56:37,dinner,69.5
1005,47,110,0.5,2025-10-05T17:22:21,snack,124.5
1006,29,115,2.0,2025-10-06T06:16:09,breakfast,342.0
1007,25,106,0.5,2025-10-22T17:47:50,lunch,96.0
1008,2,103,1.5,2025-10-27T16:55:33,snack,360.0
1009,42,102,0.5,2025-10-28T07:25:18,snack,135.5
1010,2,112,2.0,2025-10-14T19:24:26,lunch,246.0
1011,29,112,1.0,2025-10-10T17:32:22,lunch,123.0
1012,17,116,1.5,2025-10-26T12:40:01,snack,135.0
1013,44,107,1.0,2025-10-04T12:57:48,lunch,257.0
1014,46,102,2.0,2025-10-20T07:09:34,dinner,542.0
1015,26,103,1.0,2025-10-20T23:30:19,lunch,240.0
1016,57,112,0.5,2025-10-23T00:36:19,breakfast,61.5
1017,36,106,1.5,2025-10-06T15:15:49,lunch,288.0
1018,11,102,2.0,2025-10-04T04:04:55,lunch,542.0
1019,10,114,1.5,2025-10-28T22:06:25,breakfast,252.0
1020,5,108,1.0,2025-10-22T06:05:04,breakfast,191.0
1021,29,103,1.5,2025-10-22T09:59:25,lunch,360.0
1022,17,108,1.5,2025-10-26T08:41:17,breakfast,286.5
1023,35,114,1.0,2025-10-18T13:18:47,snack,168.0
1024,42,114,1.5,2025-10-08T17:14:44,lunch,252.0
1025,1,104,1.0,2025-10-25T04:38:29,breakfast,139.0
1026,57,111,0.5,2025-10-07T18:46:27,snack,60.0
1027,31,109,2.0,2025-10-10T16:33:43,snack,574.0
1028,15,101,1.5,2025-10-11T12:34:00,dinner,409.5
1029,2,116,2.0,2025-10-12T23:08:53,dinner,180.0
1030,15,118,2.0,2025-10-03T01:45:24,snack,546.0
1031,2,106,2.0,2025-10-13T02:50:19,breakfast,384.0
1032,37,104,1.0,2025-10-11T08:32:28,snack,139.0
1033,55,110,1.0,2025-10-04T19:33:49,snack,249.0
1034,59,116,1.0,2025-10-20T20:17:13,breakfast,90.0
1035,57,118,1.0,2025-10-02T12:07:56,dinner,273.0
1036,54,113,1.0,2025-10-01T18:45:53,breakfast,284.0
1037,1,107,1.5,2025-10-21T06:16:29,snack,385.5
1038,4,102,2.0,2025-10-16T21:03:47,dinner,542.0
1039,54,108,2.0,2025-10-27T19:13:00,snack,382.0
1040,8,118,1.0,2025-10-02T16:53:38,breakfast,273.0
1041,33,107,1.5,2025-10-03T06:44:56,lunch,385.5
1042,25,120,0.5,2025-10-13T05:13:48,lunch,63.5
1043,54,115,2.0,2025-10-22T09:35:06,snack,342.0
1044,36,102,0.5,2025-10-15T09:29:09,snack,135.5
1045,31,118,2.0,2025-10-10T06:37:18,lunch,546.0
1046,45,113,2.0,2025-10-16T00:24:02,dinner,568.0
1047,11,107,0.5,2025-10-06T17:19:39,breakfast,128.5
1048,30,108,2.0,2025-10-14T23:11:32,snack,382.0
1049,24,113,0.5,2025-10-17T00:26:08,snack,142.0
1050,44,119,2.0,2025-10-11T13:00:39,lunch,590.0
1051,40,110,0.5,2025-10-26T06:35:43,breakfast,124.5
1052,31,118,1.0,2025-10-02T12:15:10,snack,273.0
1053,38,113,1.0,2025-10-18T19:12:58,lunch,284.0
1054,13,116,0.5,2025-10-08T16:06:42,snack,45.0
1055,45,103,1.5,2025-10-23T20:48:27,dinner,360.0
1056,36,120,1.5,2025-10-12T04:04:01,lunch,190.5
1057,35,113,1.0,2025-10-21T08:40:51,snack,284.0
1058,19,106,1.0,2025-10-12T00:42:23,lunch,192.0
1059,27,106,1.5,2025-10-26T00:50:15,dinner,288.0
1060,32,117,1.0,2025-10-22T08:20:57,snack,232.0
1061,49,102,1.5,2025-10-20T05:10:03,lunch,406.5
1062,16,101,1.0,2025-10-28T11:00:46,lunch,273.0
1063,26,116,1.0,2025-10-10T10:09:07,snack,90.0
1064,19,118,0.5,2025-10-20T04:29:02,lunch,136.5
1065,51,103,1.5,2025-10-04T23:47:29,snack,360.0
1066,15,113,1.5,2025-10-25T08:58:09,breakfast,426.0
1067,55,120,0.5,2025-10-03T07:37:34,lunch,63.5
1068,39,104,1.5,2025-10-15T04:07:46,dinner,208.5
1069,4,104,1.0,2025-10-08T00:12:22,snack,139.0
1070,27,105,1.5,2025-10-24T08:10:02,dinner,415.5
1071,45,111,0.5,2025-10-06T10:28:39,snack,60.0
1072,38,106,1.0,2025-10-07T08:46:33,breakfast,192.0
1073,13,114,1.0,2025-10-07T04:08:43,snack,168.0
1074,2,103,2.0,2025-10-23T14:03:37,lunch,480.0
1075,6,107,2.0,2025-10-18T09:08:21,lunch,514.0
1076,55,117,0.5,2025-10-28T00:53:37,breakfast,116.0
1077,11,110,1.5,2025-10-02T02:17:55,snack,373.5
1078,47,118,1.0,2025-10-22T20:29:56,snack,273.0
1079,43,113,0.5,2025-10-26T12:51:36,dinner,142.0
1080,50,119,1.0,2025-10-18T09:16:54,breakfast,295.0
1081,37,118,2.0,2025-10-15T06:25:32,dinner,546.0
1082,4,105,2.0,2025-10-18T20:41:03,breakfast,554.0
1083,23,119,2.0,2025-10-11T14:35:53,snack,590.0
1084,6,108,0.5,2025-10-20T05:03:57,lunch,95.5
1085,12,111,1.5,2025-10-03T13:01:59,snack,180.0
1086,20,120,1.5,2025-10-06T09:10:50,dinner,190.5
1087,36,115,2.0,2025-10-25T22:28:07,dinner,342.0
1088,35,117,2.0,2025-10-05T20:30:58,lunch,464.0
1089,40,114,2.0,2025-10-17T00:29:39,lunch,336.0
1090,12,116,1.0,2025-10-05T06:26:04,snack,90.0
1091,1,105,1.5,2025-10-11T05:57:01,snack,415.5
